character_id,cast_id,movie_id,type
C1,1,M1,PLAYED_BY
C1,1,M2,PLAYED_BY
C1,1,M3,PLAYED_BY
C1,1,M4,PLAYED_BY
C1,1,M5,PLAYED_BY
C2,2,M1,PLAYED_BY
C2,2,M2,PLAYED_BY
C2,2,M3,PLAYED_BY
C2,2,M5,PLAYED_BY
C3,3,M1,PLAYED_BY
C3,3,M2,PLAYED_BY
C3,3,M3,PLAYED_BY
C3,3,M5,PLAYED_BY
C4,4,M1,PLAYED_BY
C4,4,M2,PLAYED_BY
C4,4,M3,PLAYED_BY
C4,4,M4,PLAYED_BY
C4,4,M5,PLAYED_BY
C5,5,M1,PLAYED_BY
C5,5,M2,PLAYED_BY
C5,5,M3,PLAYED_BY
C5,5,M4,PLAYED_BY
C5,5,M5,PLAYED_BY
C13,6,M2,PLAYED_BY
C13,6,M3,PLAYED_BY
C14,7,M2,PLAYED_BY
C14,7,M3,PLAYED_BY
C19,8,M4,PLAYED_BY
C20,9,M4,PLAYED_BY
C30,10,M5,PLAYED_BY
C31,11,M5,PLAYED_BY
C32,12,M5,PLAYED_BY
